leaf,Amount_Borrowed,Predict_Return,Actual_Return,Predict_Sd,Year,Node_ID
149,15500,0.0162204464,0.2599528163,0.0559989783,2011,2011149
150,5500,0.0846511552,0.2471641501,0.0554979679,2011,2011150
151,10878.82,-0.0370227097,0.0055132544,0.063828289,2011,2011151
153,14500,0.099517947,0.1046546706,0.0294511548,2011,2011153
156,7000,0.0600627548,-0.2899703231,0.0482116026,2011,2011156
157,25655.18,0.0019348465,0.1721256044,0.0782017763,2011,2011157
159,21300,0.102217876,0.2450906345,0.0296192174,2011,2011159
160,49544.64,0.05652945,0.2456212294,0.0352331942,2011,2011160
163,12880.59,0.0061336139,0.0021743833,0.0666472103,2011,2011163
165,29091.8,0.0502279344,-0.008230805,0.0527993232,2011,2011165
166,47919.21,0.102483767,0.138960797,0.027934186,2011,2011166
168,23650,-0.0634740543,0.1420234785,0.0757047472,2011,2011168
171,55174.03,0.0234663536,0.1177018344,0.0627759004,2011,2011171
172,42030.07,0.0817888935,0.0418994993,0.0421306148,2011,2011172
178,37342.74,-0.0554445384,0.1082044558,0.079035819,2011,2011178
179,46307.87,0.0143493903,0.2483328406,0.0554495654,2011,2011179
180,39349.86,-0.1162846116,0.0361473387,0.090429714,2011,2011180
181,21748.19,0.0074337326,0.1258859053,0.0535341072,2011,2011181
182,61697.65,0.0121429194,0.0126003028,0.0706385812,2011,2011182
183,56451.22,0.0529393265,0.0585570812,0.0622732215,2011,2011183
186,16764.35,-0.0493944005,0.2554615266,0.0872267856,2011,2011186
189,27764.17,0.0839711432,0.1429714127,0.0488478303,2011,2011189
191,49105.67,-0.0074709451,0.123993157,0.0613499325,2011,2011191
192,41967.01,0.051893689,0.0108293508,0.0453426608,2011,2011192
193,57400,-0.0104401368,0.2480931636,0.0600669246,2011,2011193
195,12000,-0.1005596688,-0.0738338949,0.0806073608,2011,2011195
197,15176.72,-0.0783870075,-0.1086310859,0.076495189,2011,2011197
198,28050.14,0.0452296933,0.1274854107,0.0518649436,2011,2011198
205,2000,-0.0875938445,0.2456982483,0.0945942484,2011,2011205
207,8456.88,0.0492984277,-0.2507034698,0.0716883401,2011,2011207
208,7045.6,-0.0514611165,0.2611273066,0.0695293786,2011,2011208
209,2000,-0.1512804894,0.2520562835,0.0765385637,2011,2011209
211,8000,0.0859970011,0.2445984635,0.0425590551,2011,2011211
212,24459.55,0.0155764053,0.2460257348,0.0717660666,2011,2011212
213,5950.88,-0.1134358531,0.2517115417,0.0939051839,2011,2011213
215,19493.16,0.0761020845,0.157434553,0.0698392201,2011,2011215
216,27500,-0.0108173192,0.2696635562,0.0675780803,2011,2011216
219,8038,-0.2092205761,0.2488011884,0.0940112179,2011,2011219
220,25060.59,-0.1042079352,-0.0160233394,0.0961040582,2011,2011220
221,24500,-0.0362395255,-0.038474868,0.0768552636,2011,2011221
226,3000,-0.0876154122,-0.667425085,0.0986879253,2011,2011226
227,20173.48,0.0235741004,-0.0993195007,0.078901455,2011,2011227
229,7500,-0.0715068253,0.2504558671,0.097797193,2011,2011229
230,10000,-0.1498030148,0.0353450878,0.0822810438,2011,2011230
231,3366.6,-0.2069278183,0.2585550783,0.0856323214,2011,2011231
232,13132.14,-0.2451065152,0.2444751744,0.0918085201,2011,2011232
12,176697.31,0.0349033985,0.0781654002,0.0710535268,2012,201212
17,737708.43,0.0553384581,0.0809143152,0.0050945305,2012,201217
18,1072047.29,0.0691671849,0.0465916845,0.0025174059,2012,201218
20,861949.3,0.0294756943,0.0349416781,0.0312889003,2012,201220
21,1297581.8,0.0662146841,0.0583875852,0.0032936241,2012,201221
23,910206.34,0.0586783535,0.0383016167,0.0149517336,2012,201223
24,915246.9,0.0785815654,0.0510666052,0.004197439,2012,201224
28,128076,0.0487711852,0.0426996507,0.0043277545,2012,201228
30,1204500,0.0620996381,0.0496487264,0.0035121094,2012,201230
32,507706,0.0518698204,0.0529919413,0.0026222185,2012,201232
33,487802,0.0571244091,0.0344719612,0.003383631,2012,201233
34,698856.98,0.0467730494,0.0541510819,0.006566081,2012,201234
35,832718.86,0.0314095526,0.0451526054,0.0126531355,2012,201235
38,1965745,0.0663397073,0.0510889618,0.0034770732,2012,201238
40,292104.2,0.0503596668,0.0545142389,0.0020110541,2012,201240
41,988150,0.0594893447,0.0324947847,0.0038629988,2012,201241
42,1630731.03,0.0855104794,0.0531342227,0.0122287828,2012,201242
43,1426107.47,0.0379561972,0.0550644181,0.0389141132,2012,201243
45,243250,0.0762581486,0.0229089267,0.00661679,2012,201245
46,372804.13,0.0673124618,0.0171168747,0.0049566085,2012,201246
48,1768861.07,0.0642305483,0.0459930499,0.0037090097,2012,201248
49,1071542.8,0.0804839175,0.0777570649,0.0164714414,2012,201249
51,2074739.07,0.0227442475,0.0686037109,0.0385373646,2012,201251
53,1167239.02,0.0386956184,0.0730636336,0.0360817115,2012,201253
54,1131595.59,0.072055251,0.0761934747,0.0052906829,2012,201254
56,842300.5,0.0151064392,0.029996047,0.0337690323,2012,201256
61,2911821.78,0.0648156551,0.0582990523,0.0030147912,2012,201261
63,791319.9,0.0553558818,0.0535618075,0.0035382968,2012,201263
64,919782,0.0409564514,0.0570102135,0.0394157097,2012,201264
65,2200373.43,0.0384524199,0.0469022204,0.0356748178,2012,201265
66,1218797.8,0.0673970331,0.0697569038,0.0047659117,2012,201266
67,3236408.13,0.028459675,0.0713110447,0.0375386197,2012,201267
68,1529838.7,0.0132230612,0.0132965665,0.065547832,2012,201268
69,1313144.41,-0.0037067335,0.0781079771,0.0485977075,2012,201269
72,2387842.94,0.1179618163,0.1361750799,0.0090093633,2012,201272
74,465285.96,0.1548711929,0.1903368658,0.0133886122,2012,201274
75,497822.47,0.1900529097,0.1972471597,0.0199130608,2012,201275
81,459310.01,0.0449824974,-0.0190311574,0.0800234108,2012,201281
82,607009.37,0.0979504374,0.0939381865,0.0440645582,2012,201282
85,488800,-0.0069576552,0.1353821599,0.0622689415,2012,201285
86,739551,0.0686447968,0.0758859319,0.0465633853,2012,201286
87,1309475.94,-0.0788294891,0.110419566,0.0959870611,2012,201287
88,532117.33,0.1144492114,0.1183040442,0.0257769763,2012,201288
96,515731.15,0.1079233163,0.0214371214,0.0060264079,2012,201296
98,518500,0.0911522192,0.121075212,0.0124366856,2012,201298
99,376710,0.0524559536,0.054518739,0.0326558195,2012,201299
101,876050,-0.017669117,0.0607206039,0.0396362297,2012,2012101
102,1180369.36,0.0943213836,0.1069682861,0.0520592151,2012,2012102
106,541500,0.0771208659,0.0896044252,0.0336736624,2012,2012106
107,1455985,0.1224254485,0.1106606547,0.0134411343,2012,2012107
108,1012640,0.0509572979,0.046543593,0.0386745282,2012,2012108
109,1350693,0.1252185167,0.1127458945,0.0091579143,2012,2012109
110,1282662,0.0116104213,0.099164279,0.058975829,2012,2012110
115,1489561.27,0.1037194618,0.0579390751,0.0345196856,2012,2012115
116,751650,0.0609116955,0.1064663856,0.0419726555,2012,2012116
118,1769518.43,0.1094038856,0.1015515285,0.0221945983,2012,2012118
119,1815457.42,0.1524300166,0.1060760294,0.0144775779,2012,2012119
120,2792728.42,0.1491373547,0.1076713225,0.0327690882,2012,2012120
125,1173758.41,0.0934568376,0.105466959,0.0370742017,2012,2012125
126,1009175,0.1278902176,0.1092703109,0.0107437551,2012,2012126
127,1337886.68,0.0611994933,0.1157817723,0.0439578088,2012,2012127
128,2310303.97,0.0459730638,0.1081054371,0.0449994582,2012,2012128
130,742661,0.084415088,0.1241304419,0.027728822,2012,2012130
133,1197504.91,0.129104314,0.1111199312,0.0218890707,2012,2012133
134,1364657,0.0799706531,0.1330483536,0.0402059293,2012,2012134
135,1765637.18,0.1438288468,0.1203418608,0.0115793427,2012,2012135
140,276500,0.1495816129,0.1922071135,0.0492489361,2012,2012140
141,243527.27,0.083123487,0.1369127949,0.0728492617,2012,2012141
142,189501.09,0.1719672132,0.122789436,0.0307851991,2012,2012142
143,196600,0.0600895612,0.1718653415,0.051376951,2012,2012143
