Date,SHY,IEF,LQD,EMB,year,month
2014-01-31 00:00:00+00:00,1.0415355586891561,1.2469378813910592,1.300439064740594,1.2825363242067225,2014,1
2014-02-28 00:00:00+00:00,1.0431701918680871,1.2650480911704873,1.3175306194267802,1.2903213496089172,2014,2
2014-03-31 00:00:00+00:00,1.0423522524737787,1.2647016167814713,1.322174408692206,1.3088853100720557,2014,3
2014-04-30 00:00:00+00:00,1.0428467332068663,1.267950762765688,1.3384893940553826,1.339189932678045,2014,4
2014-05-31 00:00:00+00:00,1.0444171795083979,1.2864561977534532,1.357945625538006,1.3672492008067476,2014,5
2014-06-30 00:00:00+00:00,1.043977568449609,1.2849567194465683,1.35827024084163,1.385547996000038,2014,6
2014-07-31 00:00:00+00:00,1.0438386214016335,1.2933475011208517,1.3657688974299167,1.3956994289890945,2014,7
2014-08-31 00:00:00+00:00,1.0452323264263064,1.3071056998892903,1.3765228052587974,1.3911204544400857,2014,8
2014-09-30 00:00:00+00:00,1.0446363942371966,1.2973551746974077,1.3667258210206081,1.387521385202117,2014,9
2014-10-31 00:00:00+00:00,1.0481257621434554,1.3251048162997623,1.3859917679188323,1.3892295140260422,2014,10
2014-11-30 00:00:00+00:00,1.0475733955442355,1.3236972010294081,1.3792659283622593,1.392403418363331,2014,11
2014-12-31 00:00:00+00:00,1.0465076650269418,1.3369574242964335,1.388378820603913,1.362500868502173,2014,12
2015-01-31 00:00:00+00:00,1.0496611595017813,1.373645058313992,1.4209294240672374,1.3657836710165812,2015,1
2015-02-28 00:00:00+00:00,1.0491598144896326,1.3644281304623322,1.423949642063601,1.385280110619708,2015,2
2015-03-31 00:00:00+00:00,1.0494390422365278,1.360448438899297,1.4181950828998886,1.3842658553129132,2015,3
2015-04-30 00:00:00+00:00,1.0523663195938704,1.3764768692489073,1.4313680143210379,1.4179562216880512,2015,4
2015-05-31 00:00:00+00:00,1.0517915312136383,1.351782958272466,1.3949856804783312,1.4099439333877077,2015,5
2015-06-30 00:00:00+00:00,1.0514816029738727,1.3359964683137442,1.3726106448340178,1.384247998964731,2015,6
2015-07-31 00:00:00+00:00,1.0529625633393571,1.3438487002191954,1.3731671207667835,1.3832300520336973,2015,7
2015-08-31 00:00:00+00:00,1.0529972618576229,1.3620207932755501,1.376476529040119,1.3696964849594584,2015,8
2015-09-30 00:00:00+00:00,1.053890680469599,1.366844368529584,1.3825666132957046,1.3700532608784575,2015,9
2015-10-31 00:00:00+00:00,1.0562584231580947,1.3813391319813344,1.3979855206435,1.3872794740385472,2015,10
2015-11-30 00:00:00+00:00,1.0521780744356695,1.3599121479115621,1.385980740129722,1.3924019837288382,2015,11
2015-12-31 00:00:00+00:00,1.0511937254502042,1.364162950988463,1.3836654489615996,1.3744538383453677,2015,12
