,field,pvalues,rsquared,coef,conf_low,conf_high
119,stated_monthly_income,0.00798029579908,0.321654864579,3.44132157135e-08,8.98882323982e-09,5.98376081871e-08
120,C(income_verifiable)[T.True],2.16863777186e-34,0.322073131003,-0.0434747367815,-0.0504412560863,-0.0365082174766
121,dti_wprosper_loan,2.27499426638e-38,0.322126560155,4.6151496291e-08,3.91691065635e-08,5.31338860185e-08
122,C(employment_status_description)[T.Full-time],0.0,0.393190023059,-0.638981910573,-0.64687684046,-0.631086980687
123,C(employment_status_description)[T.Not available],6.84658429e-47,0.393190023059,-0.852150818051,-0.968266582613,-0.736035053488
124,C(employment_status_description)[T.Not employed],1.48226775949e-94,0.393190023059,-0.360508537232,-0.39474352492,-0.326273549544
125,C(employment_status_description)[T.Other],3.2265725892e-75,0.393190023059,-0.0497194691148,-0.0550277350404,-0.0444112031891
126,C(employment_status_description)[T.Part-time],0.0,0.393190023059,-0.627755870732,-0.656272124054,-0.59923961741
127,C(employment_status_description)[T.Retired],0.0,0.393190023059,-0.611546339373,-0.642788603581,-0.580304075166
128,C(employment_status_description)[T.Self-employed],0.0,0.393190023059,-0.127868879425,-0.133226290622,-0.122511468227
129,C(occupation)[T.Administrative Assistant],3.74501863806e-06,0.32246544509,-0.0291649609855,-0.0415239748188,-0.0168059471522
130,C(occupation)[T.Analyst],0.316368304166,0.32246544509,0.00596759073571,-0.00570596117587,0.0176411426473
131,C(occupation)[T.Architect],0.233140499269,0.32246544509,-0.0206619601418,-0.0546270198761,0.0133030995925
132,C(occupation)[T.Attorney],0.0529708782524,0.32246544509,0.0178810235924,-0.000229209026129,0.0359912562108
133,C(occupation)[T.Biologist],0.611796762006,0.32246544509,-0.0119844404951,-0.0582675740757,0.0342986930856
134,C(occupation)[T.Bus Driver],1.02989627e-07,0.32246544509,-0.0630170975264,-0.0862268616084,-0.0398073334443
135,C(occupation)[T.Car Dealer],0.00244661222348,0.32246544509,-0.0482478789099,-0.0794583265474,-0.0170374312725
136,C(occupation)[T.Chemist],0.231528074927,0.32246544509,-0.0246763494972,-0.0651006263305,0.015747927336
137,C(occupation)[T.Civil Service],0.140422412792,0.32246544509,0.011525879069,-0.00379771889553,0.0268494770335
138,C(occupation)[T.Clergy],0.595292168272,0.32246544509,-0.00876483870217,-0.0411055741696,0.0235758967653
139,C(occupation)[T.Clerical],1.41182713564e-17,0.32246544509,-0.0513040082304,-0.0630855944945,-0.0395224219663
140,C(occupation)[T.Computer Programmer],0.409151834399,0.32246544509,0.00498832390558,-0.00685699194279,0.016833639754
141,C(occupation)[T.Construction],4.18290835892e-23,0.32246544509,-0.0658253181196,-0.0788563618854,-0.0527942743539
142,C(occupation)[T.Dentist],0.005937725194,0.32246544509,-0.0646766541,-0.110752303793,-0.0186010044071
143,C(occupation)[T.Doctor],0.322565207369,0.32246544509,-0.0123106640364,-0.0367026317195,0.0120813036466
144,C(occupation)[T.Engineer - Chemical],0.901767359026,0.32246544509,-0.00222587367172,-0.0375712965828,0.0331195492394
145,C(occupation)[T.Engineer - Electrical],0.174496857291,0.32246544509,0.0116963012989,-0.0051859871488,0.0285785897466
146,C(occupation)[T.Engineer - Mechanical],0.0599405060768,0.32246544509,-0.0144615506344,-0.0295283493596,0.000605248090863
147,C(occupation)[T.Executive],0.481303201009,0.32246544509,0.00399686753697,-0.00712732619879,0.0151210612727
148,C(occupation)[T.Fireman],0.430828959707,0.32246544509,-0.010507939846,-0.0366515589745,0.0156356792824
149,C(occupation)[T.Flight Attendant],0.112874389924,0.32246544509,-0.0350566946839,-0.0783957620988,0.00828237273109
150,C(occupation)[T.Food Service Management],1.17909960793e-08,0.32246544509,-0.0442974020091,-0.0595214328439,-0.0290733711742
